pmid,human_wd,species,L1_cu_primary_s,L1_cu_primary_f,L2_secondary_iron_s,L2_secondary_iron_f,L3_cp_ferroxidase_s,L3_cp_ferroxidase_f,L4_iron_ferroptosis_s,L4_iron_ferroptosis_f,L5_wd_ferroptosis_s,L5_wd_ferroptosis_f,L6_cu_fe_crosstalk_s,L6_cu_fe_crosstalk_f,year,journal,title,doi,first_author
14751926,False,mouse,NONE,,NONE,,STRONG,Hephaestin demonstrates ferroxidase activity in cultured cells and primary intestinal enterocytes; facilitates iron export from enterocytes.,NONE,,NONE,,NONE,,2004,"{'title': 'Blood', 'iso_abbreviation': 'Blood'}",Hephaestin is a ferroxidase that maintains partial activity in sex-linked anemia mice.,10.1182/blood-2003-09-3139,Chen
14770366,False,review,NONE,,NONE,,PARTIAL,Hephaestin ferroxidase activity exports iron at basolateral membrane; ferroportin-mediated export requires ferroxidase oxidation to Fe(III).,NONE,,NONE,,NONE,,2004,"{'title': 'Medecine sciences : M/S', 'iso_abbreviation': 'Med Sci (Paris)'}",[Molecular mechanisms of iron homeostasis].,10.1051/medsci/200420168,Beaumont
15048596,False,human,NONE,,MENTION,"Hepatic iron accumulation investigated in NASH; 26% had elevated serum iron, but NO hepatic iron staining demonstrated on liver biopsy.",MENTION,Serum ceruloplasmin measured; slightly decreased in 7.5% of NASH patients. No mechanistic data on ferroxidase function or iron export.,MENTION,Iron and copper can cause lipid peroxidation and hepatic damage; stated as general principle but no ferroptosis pathway data presented.,NONE,,MENTION,Iron and copper accumulation co-investigated in same cohort; no correlation found between either metal and NASH development or severity.,2003,"{'title': 'The Turkish journal of gastroenterology : the official journal of Turkish Society of Gastroenterology', 'iso_abbreviation': 'Turk J Gastroenterol'}",The importance of iron and copper accumulation in the pathogenesis of non-alcoholic steatohepatitis.,,Akin
15379129,True,human,PARTIAL,WD patients present with liver cirrhosis and copper overloading; D-penicillamine chelation achieves clinical response.,NONE,,NONE,,NONE,,NONE,,NONE,,2004,"{'title': 'Terapevticheskii arkhiv', 'iso_abbreviation': 'Ter Arkh'}",[Wilson's disease and secondary copper hemochromatoses in hematological practice].,,Vorob'ev
15516801,True,human,STRONG,"ATP7B defect causes impaired biliary copper secretion; copper accumulates in liver causing chronic hepatitis, cirrhosis, fatty metamorphosis.",MENTION,Hypoceruloplasminemia and further reduction after chelation therapy associated with iron overload—complication noted but not quantified.,PARTIAL,Iron overload closely related to impaired ferrous ion transport due to ferroxidase deficiency (ceruloplasmin/hephaestin implied).,NONE,,NONE,,MENTION,"Iron overload complication arises in WD context (copper disease), but no explicit mechanistic crosstalk between cuproptosis and ferroptosis described.",2004,"{'title': 'Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan', 'iso_abbreviation': 'Yakugaku Zasshi'}",[Wilson's disease and its pharmacological treatment].,10.1248/yakushi.124.711,Hayashi
15582261,True,human/rat-model,PARTIAL,Hepatic copper excess in WD patients causes oxidative stress and lipid peroxidation-derived DNA damage.,MENTION,WD patients show elevated hepatic etheno-adducts; iron storage mentioned alongside copper but not quantified separately.,NONE,,MENTION,Lipid peroxidation and oxidative stress are documented; ferroptosis mechanism not named or tested.,NONE,,MENTION,Copper and iron storage co-occur in WD patients and jointly drive oxidative stress; interaction mechanism not characterized.,2004,"{'title': 'Cancer detection and prevention', 'iso_abbreviation': 'Cancer Detect Prev'}",Oxidative stress and lipid peroxidation-derived DNA-lesions in inflammation driven carcinogenesis.,10.1016/j.cdp.2004.07.004,Bartsch
15778082,False,mouse,MENTION,Hephaestin is copper-dependent ferroxidase; copper requirement noted but not WD-specific mechanism.,NONE,,PARTIAL,Hephaestin ferroxidase activity required for iron export; defective export causes iron retention in enterocytes.,NONE,,NONE,,MENTION,Copper-dependent ferroxidase involved in iron handling; no explicit copper–iron crosstalk or cuproptosis mechanism described.,2005,"{'title': 'The international journal of biochemistry & cell biology', 'iso_abbreviation': 'Int J Biochem Cell Biol'}",Hephaestin--a ferroxidase of cellular iron export.,10.1016/j.biocel.2004.12.007,Petrak
16081251,False,rat-model,PARTIAL,LEC rats show selective copper deposition in liver and brain with increased oxidative stress and lipid peroxidation.,NONE,,NONE,,MENTION,Increased lipid peroxidation observed in liver and striatum of WD model; ferroptosis not explicitly named or mechanistically tested.,NONE,,NONE,,2005,"{'title': 'Biochimica et biophysica acta', 'iso_abbreviation': 'Biochim Biophys Acta'}",Oxidative stress and pro-apoptotic conditions in a rodent model of Wilson's disease.,10.1016/j.bbadis.2005.06.004,Samuele
16269323,True,review,MENTION,WD: P-type ATPase defect causes hepatic copper accumulation that leaks into circulation and deposits in brain.,NONE,,PARTIAL,Ceruloplasmin ferroxidase activity is essential for iron metabolism; its lack causes abnormal iron accumulation in CNS.,NONE,,NONE,,MENTION,WD involves copper deposition in brain; aceruloplasminemia involves iron accumulation in CNS; both linked to ceruloplasmin dysfunction.,2005,"{'title': 'Brain research. Brain research reviews', 'iso_abbreviation': 'Brain Res Brain Res Rev'}",Ceruloplasmin in neurodegenerative diseases.,10.1016/j.brainresrev.2005.03.003,Vassiliev
16274220,False,human (recombinant protein); murine model referenced for context,NONE,,NONE,,STRONG,Recombinant human hephaestin binds copper (3.13 atoms/molecule) and exhibits ferroxidase activity (Km 2.1 µM Fe(II)); catalyzes diferric transferrin formation.,NONE,,NONE,,MENTION,"Hephaestin possesses both copper-binding and iron-ferroxidase capacity, linking copper and iron metabolism pathways.",2005,"{'title': 'Biochemistry', 'iso_abbreviation': 'Biochemistry'}",Recombinant expression and functional characterization of human hephaestin: a multicopper oxidase with ferroxidase activity.,10.1021/bi051559k,Griffiths
16940238,True,human,STRONG,Excess hepatic copper generates free radicals; decreased antioxidant enzyme activities in affected patients correlate with liver damage severity.,NONE,,NONE,,PARTIAL,Lipid peroxidation (TBARS) increased in WD patients; GPx activity decreased in fulminant failure—markers of ferroptosis-relevant stress.,NONE,,NONE,,2006,"{'title': 'Pediatric research', 'iso_abbreviation': 'Pediatr Res'}",Relationship between oxidative stress and antioxidant systems in the liver of patients with Wilson disease: hepatic manifestation in Wilson disease as a consequence of augmented oxidative stress.,10.1203/01.pdr.0000238341.12229.d3,Nagasaka
17921041,False,review,NONE,,NONE,,PARTIAL,Ceruloplasmin mutation causes retinal iron overload; ceruloplasmin and hephaestin are iron homeostasis proteins found in retina.,MENTION,Iron generates hydroxyl radicals and causes oxidative stress; iron buildup contributes to retinal degeneration.,NONE,,NONE,,2007,"{'title': 'Progress in retinal and eye research', 'iso_abbreviation': 'Prog Retin Eye Res'}",Iron homeostasis and toxicity in retinal degeneration.,10.1016/j.preteyeres.2007.07.004,He
19185006,False,rat-model,STRONG,LEC rats with copper toxicosis; treatment restores atp7b mRNA and lowers hepatic copper below 250 μg/g.,NONE,,NONE,,MENTION,Hepatic lipid peroxidation increased after liver radiation or cholic acid treatment in WD rats.,NONE,,NONE,,2009,"{'title': 'Hepatology (Baltimore, Md.)', 'iso_abbreviation': 'Hepatology'}",Bile salt-induced pro-oxidant liver damage promotes transplanted cell proliferation for correcting Wilson disease in the Long-Evans Cinnamon rat model.,10.1002/hep.22792,Joseph
19571474,True,human,STRONG,Excess hepatic copper generates free radicals; copper-derived oxidants contribute to liver disease development and progression.,NONE,,NONE,,PARTIAL,Lipid peroxidation (TBARS) markedly elevated in WD patients; decreases in GPX activity in severe disease.,MENTION,Oxidative stress and antioxidant exhaustion documented in WD liver; no direct ferroptosis evidence or ferroptosis-inhibitor rescue data.,NONE,,2009,"{'title': 'The Journal of toxicological sciences', 'iso_abbreviation': 'J Toxicol Sci'}",Children's toxicology from bench to bed--Liver Injury (3): Oxidative stress and anti-oxidant systems in liver of patients with Wilson disease.,10.2131/jts.34.sp229,Nagasaka
19640812,True,human,NONE,,PARTIAL,Hypocaeruloplasminaemia leads to tissue iron storage in WD; iron overload in long-term overtreated patients documented.,MENTION,Hypocaeruloplasminaemia implied as mechanism for iron accumulation; ferroxidase function not explicitly stated.,NONE,,NONE,,MENTION,Interplay of therapy in copper and iron homeostasis noted; HFE mutations modulate iron accumulation in WD context.,2009,"{'title': 'Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver', 'iso_abbreviation': 'Dig Liver Dis'}",HFE gene mutations and Wilson's disease in Sardinia.,10.1016/j.dld.2009.06.012,Sorbello
20594231,False,mouse,STRONG,"Atp7b(-/-) mice displayed copper accumulation (P < 0.001) vs wild type, confirming ATP7B loss causes hepatic copper overload.",PARTIAL,"Atp7b(-/-) mice showed slightly elevated hepatic iron content (P = NS, not significant), suggesting modest iron deposition in WD model.",STRONG,"Low serum ceruloplasmin oxidase activity in Atp7b(-/-) mice (1.5 vs 18.9 U/L, P<0.001); decreased iron export linked to impaired ferroxidase function.",NONE,,NONE,,MENTION,"Abstract notes copper and iron metabolism are closely linked; Atp7b mutation affects both, suggesting interconnection but no mechanistic detail.",2010,"{'title': 'Journal of gastroenterology and hepatology', 'iso_abbreviation': 'J Gastroenterol Hepatol'}",Evidence for a critical role of ceruloplasmin oxidase activity in iron metabolism of Wilson disease gene knockout mice.,10.1111/j.1440-1746.2009.06173.x,Merle
21538285,True,human,MENTION,WD genetic background and ATP7B mutations modulate hepatic injury severity and phenotype variation.,MENTION,Significant variability in iron overload expression noted in hereditary hemochromatosis; iron involvement acknowledged.,NONE,,NONE,,NONE,,NONE,,2011,"{'title': 'Seminars in liver disease', 'iso_abbreviation': 'Semin Liver Dis'}",Genetic modifiers of liver injury in hereditary liver disease.,10.1055/s-0031-1276648,Ala
22098612,True,human,MENTION,WD is rare inherited disorder of copper metabolism; no direct data on ATP7B loss or cuproptosis.,PARTIAL,143 WD patients: hepatic iron content normal in most cases; male patients with low ceruloplasmin showed slightly elevated serum ferritin.,PARTIAL,"Male patients with very low serum ceruloplasmin showed elevated serum ferritin, probably related to lack of ferroxidase activity.",NONE,,NONE,,NONE,,2011,"{'title': 'Liver international : official journal of the International Association for the Study of the Liver', 'iso_abbreviation': 'Liver Int'}",Iron metabolism and the role of HFE gene polymorphisms in Wilson disease.,10.1111/j.1478-3231.2011.02661.x,Pfeiffenberger
22342521,False,mouse,NONE,,NONE,,PARTIAL,Loss of ferroxidases (Cp and Heph) impairs iron export; iron accumulates in RPE cells lacking both ferroxidases.,NONE,,NONE,,NONE,,2012,"{'title': 'The American journal of pathology', 'iso_abbreviation': 'Am J Pathol'}",Ferroxidase hephaestin's cell-autonomous role in the retinal pigment epithelium.,10.1016/j.ajpath.2011.12.041,Wolkow
22572525,True,human,STRONG,WD patients show hepatic copper accumulation (753±65.3 mcg/g vs 54.5±16.9 in controls); higher copper correlates with steatosis severity (r=0.87).,MENTION,Ferritin levels significantly higher in WD vs NASH patients (P<0.05); no quantified hepatic iron deposition reported.,NONE,,NONE,,NONE,,NONE,,2012,"{'title': 'Clinics and research in hepatology and gastroenterology', 'iso_abbreviation': 'Clin Res Hepatol Gastroenterol'}",The relationship between copper and steatosis in Wilson's disease.,10.1016/j.clinre.2012.03.038,Liggi
22961397,False,cell,NONE,,NONE,,PARTIAL,Hephaestin ferroxidase activity mediates iron export from intestinal enterocytes; structural similarity to ceruloplasmin noted.,NONE,,NONE,,MENTION,Multicopper ferroxidase hephaestin catalyzes ferroxidation; copper sites essential for iron oxidation activity.,2012,"{'title': 'Journal of biological inorganic chemistry : JBIC : a publication of the Society of Biological Inorganic Chemistry', 'iso_abbreviation': 'J Biol Inorg Chem'}",Functional role of the putative iron ligands in the ferroxidase activity of recombinant human hephaestin.,10.1007/s00775-012-0932-x,Vashchenko
23807651,False,review,NONE,,NONE,,STRONG,Ceruloplasmin ferroxidase activity required for hepatic iron efflux via ferroportin; oxidizes Fe(2+) to Fe(3+) for transferrin binding.,NONE,,NONE,,MENTION,"Copper-containing ferroxidases (ceruloplasmin, hephaestin) regulate iron metabolism; functional link between copper oxidase status and iron homeostasis.",2013,"{'title': 'Nutrients', 'iso_abbreviation': 'Nutrients'}",Multi-copper oxidases and human iron metabolism.,10.3390/nu5072289,Vashchenko
24663495,True,human,NONE,,NONE,,PARTIAL,Ceruloplasmin is a serum ferroxidase essential for iron metabolism; assay distinguishes WD patients from controls.,NONE,,NONE,,NONE,,2014,"{'title': 'Journal of neural transmission (Vienna, Austria : 1996)', 'iso_abbreviation': 'J Neural Transm (Vienna)'}",Automation of o-dianisidine assay for ceruloplasmin activity analyses: usefulness of investigation in Wilson's disease and in hepatic encephalopathy.,10.1007/s00702-014-1196-0,Siotto
24954801,True,human,MENTION,WD: substantial CNS copper accumulation persists during chelating treatment; impaired copper homeostasis triggers neurodegeneration.,MENTION,WD: local iron accumulation in certain brain nuclei may occur during disease course.,PARTIAL,Decreased ceruloplasmin concentrations and decreased ferroxidase activity associated with iron dysregulation; mechanism for iron retention implied.,NONE,,NONE,,MENTION,Abstract discusses copper and iron dysregulation co-occurring in WD CNS; both trigger oxidative stress and neurodegeneration.,2014,"{'title': 'Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS)', 'iso_abbreviation': 'J Trace Elem Med Biol'}","The neurotoxicity of iron, copper and manganese in Parkinson's and Wilson's diseases.",10.1016/j.jtemb.2014.05.007,Dusek
26224517,True,human,PARTIAL,Increased serum free copper and urinary copper excretion associated with neurologic worsening in treatment-naive NWD patients on chelation.,NONE,,NONE,,NONE,,NONE,,NONE,,2015,"{'title': 'Neuromolecular medicine', 'iso_abbreviation': 'Neuromolecular Med'}",Role of Oxidative Stress in the Worsening of Neurologic Wilson Disease Following Chelating Therapy.,10.1007/s12017-015-8364-8,Kalita
26307419,False,human,NONE,,NONE,,PARTIAL,Ceruloplasmin activity lower in hepatic encephalopathy patients; activity correlates with basal ganglia volumes.,NONE,,NONE,,MENTION,Both copper and iron metabolism altered in cirrhotic hepatic encephalopathy; ceruloplasmin/transferrin ratio elevated in encephalopathy.,2015,"{'title': 'Metabolic brain disease', 'iso_abbreviation': 'Metab Brain Dis'}",Altered metal metabolism in patients with HCV-related cirrhosis and hepatic encephalopathy.,10.1007/s11011-015-9721-x,Marano
28204974,False,mouse,NONE,,NONE,,NONE,,STRONG,Iron-dependent ferroptosis via lipid peroxidation; GPx4 suppresses phospholipid peroxidation in ferroptosis.,NONE,,NONE,,2017,"{'title': 'Current topics in microbiology and immunology', 'iso_abbreviation': 'Curr Top Microbiol Immunol'}",Lipid Peroxidation-Dependent Cell Death Regulated by GPx4 and Ferroptosis.,10.1007/82_2016_508,Imai
29177638,False,cell,MENTION,Hephaestin ferroxidase activity relies on copper bioavailability; neuronal iron homeostasis modulated by cellular copper status.,NONE,,STRONG,"Hephaestin ferroxidase required for ferroportin-mediated iron efflux; Hp knockdown increases iron accumulation, decreases efflux.",NONE,,NONE,,PARTIAL,Neuronal iron homeostasis modulated by cellular copper status via hephaestin ferroxidase copper dependence.,2017,"{'title': 'Cellular and molecular neurobiology', 'iso_abbreviation': 'Cell Mol Neurobiol'}",The Ferroxidase Hephaestin But Not Amyloid Precursor Protein is Required for Ferroportin-Supported Iron Efflux in Primary Hippocampal Neurons.,10.1007/s10571-017-0568-z,Ji
29296776,False,mouse,NONE,,NONE,,PARTIAL,Ceruloplasmin homolog hephaestin ferroxidase activity couples with ferroportin-1 for iron export from liver and intestine.,NONE,,NONE,,NONE,,2017,"{'title': 'Blood advances', 'iso_abbreviation': 'Blood Adv'}","Intestinal hephaestin potentiates iron absorption in weanling, adult, and pregnant mice under physiological conditions.",10.1182/bloodadvances.2017008359,Doguer
29431403,True,review,MENTION,Wilson disease listed as rare cause of mildly elevated transaminase levels; no mechanism detail.,NONE,,NONE,,NONE,,NONE,,NONE,,2017,"{'title': 'American family physician', 'iso_abbreviation': 'Am Fam Physician'}",Mildly Elevated Liver Transaminase Levels: Causes and Evaluation.,,Oh
29737252,True,review,MENTION,Abnormal metal ion metabolism found in Wilson's disease; CP regulates copper homeostasis.,NONE,,PARTIAL,CP ferroxidase activity and iron metabolism dysfunction shown in aceruloplasminemia and neurodegeneration.,NONE,,NONE,,MENTION,Abnormal copper and iron metabolism co-occur in Wilson's disease and other neurodegeneration.,2019,"{'title': 'Current neuropharmacology', 'iso_abbreviation': 'Curr Neuropharmacol'}",Does Ceruloplasmin Defend Against Neurodegenerative Diseases?,10.2174/1570159X16666180508113025,Wang
30081711,False,human/mouse,NONE,,NONE,,NONE,,STRONG,Ferroptosis characterized by lipid peroxidation occurs in hepatic stellate cells and liver tissue; GPX4 role in ferroptosis implied.,MENTION,ELAVL1-mediated ferroptosis induced in primary human HSCs from liver fibrosis/HCC patients; ferroptosis inhibition not tested.,NONE,,2018,"{'title': 'Autophagy', 'iso_abbreviation': 'Autophagy'}",Activation of ferritinophagy is required for the RNA-binding protein ELAVL1/HuR to regulate ferroptosis in hepatic stellate cells.,10.1080/15548627.2018.1503146,Zhang
30182051,False,mouse,NONE,,PARTIAL,"Double knockout mice exhibit marked iron loading in liver, duodenum, heart, pancreas, and other tissues.",STRONG,Hephaestin and ceruloplasmin (multicopper ferroxidases) required for proper systemic iron distribution; their loss causes hepatic iron retention.,NONE,,NONE,,MENTION,Study examines multicopper ferroxidases (copper-dependent enzymes) in context of iron homeostasis; no explicit mechanistic crosstalk described.,2018,"{'title': 'Cellular and molecular gastroenterology and hepatology', 'iso_abbreviation': 'Cell Mol Gastroenterol Hepatol'}",Severe Iron Metabolism Defects in Mice With Double Knockout of the Multicopper Ferroxidases Hephaestin and Ceruloplasmin.,10.1016/j.jcmgh.2018.06.006,Fuqua
30217775,False,review,NONE,,NONE,,NONE,,STRONG,Iron catalyzes lipid peroxidation via 15-LOX; insufficient GPX4 capacity drives ferroptosis via hydroperoxy-lipid accumulation.,NONE,,NONE,,2018,"{'title': 'Free radical biology & medicine', 'iso_abbreviation': 'Free Radic Biol Med'}",Iron catalysis of lipid peroxidation in ferroptosis: Regulated enzymatic or random free radical reaction?,10.1016/j.freeradbiomed.2018.09.008,Stoyanovsky
32937238,True,human,MENTION,WD characterized by abnormal copper metabolism; study examines iron metabolism variability in context of copper disorder.,STRONG,"WD patients show sex-dependent differences in iron metabolism: men have significantly higher serum ferritin, iron concentration, hemoglobin, RBC counts than women.",PARTIAL,"Ceruloplasmin levels measured in WD patients; copper–iron metabolism interrelated, but ferroxidase mechanism/iron export not explicitly addressed.",NONE,,NONE,,MENTION,Study premise: copper and iron metabolism are interrelated; variability in WD clinical picture may be explained by sex differences in iron metabolism.,2020,"{'title': 'Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS)', 'iso_abbreviation': 'J Trace Elem Med Biol'}",Difference in iron metabolism may partly explain sex-related variability in the manifestation of Wilson's disease.,10.1016/j.jtemb.2020.126637,Gromadzka
33555495,True,human,MENTION,WD is a hereditary disorder of copper metabolism; treated patients had lower blood copper than untreated.,STRONG,"Untreated WD patients had elevated serum iron (126.0 vs 103.5 µg/dL, p<0.05) and ferritin (158.9 vs 47.5 ng/mL, p<0.001) versus controls.",PARTIAL,"WD patients had lower ceruloplasmin than controls; treated patients showed improved iron metabolism but impaired iron handling (elevated hepcidin, lower transferrin, TIBC).",NONE,,NONE,,STRONG,"Changes in copper metabolism accompanied by changes in iron metabolism; anti-copper treatment normalizes some but not all iron parameters, indicating interdependence.",2021,"{'title': 'Biometals : an international journal on the role of metal ions in biology, biochemistry, and medicine', 'iso_abbreviation': 'Biometals'}",Iron metabolism is disturbed and anti-copper treatment improves but does not normalize iron metabolism in Wilson's disease.,10.1007/s10534-021-00289-x,Gromadzka
34611144,False,review,NONE,,MENTION,Excessive iron accumulation is primary characteristic of most major liver diseases.,NONE,,STRONG,Ferroptosis characterized by excessive iron accumulation and lipid peroxidation; GPx4 and FSP1 defend against ferroptosis.,NONE,,NONE,,2021,"{'title': 'Cell death discovery', 'iso_abbreviation': 'Cell Death Discov'}",Ferroptosis in liver disease: new insights into disease mechanisms.,10.1038/s41420-021-00660-4,Wu
35167013,False,review,MENTION,MCFs contain six copper atoms as electron acceptors; CP dysfunction disrupts iron homeostasis.,NONE,,STRONG,CP and HEPH ferroxidases oxidize iron for efficient release via ferroportin; CP critical for hepatic iron release.,NONE,,NONE,,MENTION,MCFs containing copper facilitate iron oxidation and homeostasis; copper–iron functional coordination described.,2022,"{'title': 'Biometals : an international journal on the role of metal ions in biology, biochemistry, and medicine', 'iso_abbreviation': 'Biometals'}",The biology of mammalian multi-copper ferroxidases.,10.1007/s10534-022-00370-z,Helman
35264864,True,review,MENTION,CP plays crucial role in metabolic balance of copper through its oxidase function; associated with Wilson's disease.,NONE,,PARTIAL,CP oxidase function plays crucial role in metabolic balance of iron; disorders of iron metabolism associated with metabolic disease.,NONE,,NONE,,PARTIAL,CP regulates both copper and iron metabolism; disorders of copper and iron metabolism co-occur in metabolic disease pathology.,2022,"{'title': 'Diabetes, metabolic syndrome and obesity : targets and therapy', 'iso_abbreviation': 'Diabetes Metab Syndr Obes'}",Molecular Functions of Ceruloplasmin in Metabolic Disease Pathology.,10.2147/DMSO.S346648,Liu
35477108,True,human,MENTION,Copper accumulation in liver confirmed; mitochondrial injury and oxidative stress identified as injury mechanisms.,NONE,,NONE,,PARTIAL,Lipid peroxidation (4-HNE) overexpressed in WD patients; iron-driven ferroptosis mechanism not addressed.,NONE,,NONE,,2022,"{'title': 'Advances in medical sciences', 'iso_abbreviation': 'Adv Med Sci'}",Liver injury in Wilson's disease: An immunohistochemical study.,10.1016/j.advms.2022.04.003,Szeligowska
35623314,False,mouse/cell,NONE,,NONE,,NONE,,STRONG,Iron accumulation triggers ferroptosis via lipid peroxidation; GPX4 downregulation and increased MDA demonstrate mechanism.,PARTIAL,Ferroptosis inhibitor ferrostatin-1 rescues hepatic ferroptotic damage in mouse liver; ferroptosis mechanistically confirmed.,NONE,,2022,"{'title': 'Redox biology', 'iso_abbreviation': 'Redox Biol'}",Ethyl carbamate triggers ferroptosis in liver through inhibiting GSH synthesis and suppressing Nrf2 activation.,10.1016/j.redox.2022.102349,Xu
35625641,True,review,NONE,,MENTION,Wilson disease manifests with diffuse iron accumulation in deep gray matter.,NONE,,PARTIAL,Iron accumulation induces ferroptosis; ROS generation and inflammatory acceleration noted in neurodegeneration.,MENTION,Wilson disease listed among disorders with iron accumulation; ferroptosis mentioned as unfavorable impact of iron.,NONE,,2022,"{'title': 'Biomolecules', 'iso_abbreviation': 'Biomolecules'}",Cerebral Iron Deposition in Neurodegeneration.,10.3390/biom12050714,Dusek
