link,support,pmid,year,first_author,journal,human_wd,species,finding,doi,title
L3_cp_ferroxidase,STRONG,5480864,1970,Roeser,"{'title': 'The Journal of clinical investigation', 'iso_abbreviation': 'J Clin Invest'}",True,human/swine,Ceruloplasmin ferroxidase activity essential for iron export from cells to plasma; deficiency causes iron retention.,10.1172/JCI106460,The role of ceruloplasmin in iron metabolism.
L3_cp_ferroxidase,STRONG,14751926,2004,Chen,"{'title': 'Blood', 'iso_abbreviation': 'Blood'}",False,mouse,Hephaestin demonstrates ferroxidase activity in cultured cells and primary intestinal enterocytes; facilitates iron export from enterocytes.,10.1182/blood-2003-09-3139,Hephaestin is a ferroxidase that maintains partial activity in sex-linked anemia mice.
L4_iron_ferroptosis,STRONG,41273307,2025,Zhou,"{'title': 'Free radical research', 'iso_abbreviation': 'Free Radic Res'}",True,"rat-model, HepG2 cell, human (observational for iron link)",Iron promotes ferroptosis via glutathione depletion and lipid peroxidation; decreased GPX4 levels and rescue by Ferrostatin-1 demonstrated.,10.1080/10715762.2025.2593446,Melatonin inhibits liver ferroptosis in copper-laden rats: a potential therapy mechanism underlying Wilson's disease.
L4_iron_ferroptosis,STRONG,28204974,2017,Imai,"{'title': 'Current topics in microbiology and immunology', 'iso_abbreviation': 'Curr Top Microbiol Immunol'}",False,mouse,Iron-dependent ferroptosis via lipid peroxidation; GPx4 suppresses phospholipid peroxidation in ferroptosis.,10.1007/82_2016_508,Lipid Peroxidation-Dependent Cell Death Regulated by GPx4 and Ferroptosis.
L4_iron_ferroptosis,STRONG,30081711,2018,Zhang,"{'title': 'Autophagy', 'iso_abbreviation': 'Autophagy'}",False,human/mouse,Ferroptosis characterized by lipid peroxidation occurs in hepatic stellate cells and liver tissue; GPX4 role in ferroptosis implied.,10.1080/15548627.2018.1503146,Activation of ferritinophagy is required for the RNA-binding protein ELAVL1/HuR to regulate ferroptosis in hepatic stellate cells.
L4_iron_ferroptosis,STRONG,30217775,2018,Stoyanovsky,"{'title': 'Free radical biology & medicine', 'iso_abbreviation': 'Free Radic Biol Med'}",False,review,Iron catalyzes lipid peroxidation via 15-LOX; insufficient GPX4 capacity drives ferroptosis via hydroperoxy-lipid accumulation.,10.1016/j.freeradbiomed.2018.09.008,Iron catalysis of lipid peroxidation in ferroptosis: Regulated enzymatic or random free radical reaction?
L5_wd_ferroptosis,STRONG,41273307,2025,Zhou,"{'title': 'Free radical research', 'iso_abbreviation': 'Free Radic Res'}",True,"rat-model, HepG2 cell, human (observational for iron link)","Ferroptosis occurs in copper-laden rat liver and HepG2 cells; inhibited by Ferrostatin-1, RSL3, and melatonin via Nrf2/SLC7A11/GPX4 pathway.",10.1080/10715762.2025.2593446,Melatonin inhibits liver ferroptosis in copper-laden rats: a potential therapy mechanism underlying Wilson's disease.
L5_wd_ferroptosis,STRONG,38077239,2023,Wang,"{'title': 'Neuropsychiatric disease and treatment', 'iso_abbreviation': 'Neuropsychiatr Dis Treat'}",False,rat-model/cell,"FA activates SIRT1-mediated ferroptosis signaling; upregulates GPX4, SCL7A11, Nrf2; rescues cognitive dysfunction and neuronal injury in WD rat/cell models.",10.2147/NDT.S443278,Ferulic Acid Activates SIRT1-Mediated Ferroptosis Signaling Pathway to Improve Cognition Dysfunction in Wilson's Disease.
L5_wd_ferroptosis,STRONG,39193124,2024,Wen,"{'title': 'Journal of inflammation research', 'iso_abbreviation': 'J Inflamm Res'}",False,mouse/cell,"Ferroptosis present in WD pathology; GDL rescued ferroptosis by upregulating GPX4 and SLC7A11, reducing oxidative stress markers ROS, MDA, 4-HNE.",10.2147/JIR.S465341,Gandouling Regulates Ferroptosis and Improves Neuroinflammation in Wilson's Disease Through the LCN2/NLRP3 Signaling Pathway.
L5_wd_ferroptosis,STRONG,39223962,2024,Zhao,"{'title': 'Journal of cellular and molecular medicine', 'iso_abbreviation': 'J Cell Mol Med'}",False,mouse,Ferroptosis drives WD liver injury in TX mice; HSF1/HSPB1 pathway inhibition reverses GDL ferroptosis protection.,10.1111/jcmm.70018,Gandouling ameliorates liver injury in Wilson's disease through the inhibition of ferroptosis by regulating the HSF1/HSPB1 pathway.
L6_cu_fe_crosstalk,STRONG,33555495,2021,Gromadzka,"{'title': 'Biometals : an international journal on the role of metal ions in biology, biochemistry, and medicine', 'iso_abbreviation': 'Biometals'}",True,human,"Changes in copper metabolism accompanied by changes in iron metabolism; anti-copper treatment normalizes some but not all iron parameters, indicating interdependence.",10.1007/s10534-021-00289-x,Iron metabolism is disturbed and anti-copper treatment improves but does not normalize iron metabolism in Wilson's disease.
L6_cu_fe_crosstalk,STRONG,41273307,2025,Zhou,"{'title': 'Free radical research', 'iso_abbreviation': 'Free Radic Res'}",True,"rat-model, HepG2 cell, human (observational for iron link)","Copper overload disrupts iron transport, triggering ferroptosis; copper and iron jointly drive oxidative damage and ferroptosis in WD.",10.1080/10715762.2025.2593446,Melatonin inhibits liver ferroptosis in copper-laden rats: a potential therapy mechanism underlying Wilson's disease.
L6_cu_fe_crosstalk,STRONG,40753758,2025,Chen,"{'title': 'Redox biology', 'iso_abbreviation': 'Redox Biol'}",False,cell,"Iron-copper crosstalk demonstrated: Fe²⁺ accumulation downregulates [4Fe-4S] cluster assembly, compromising LIAS, driving cuproptosis.",10.1016/j.redox.2025.103795,Iron overload exaggerates renal ischemia-reperfusion injury by promoting tubular cuproptosis via interrupting function of LIAS.
L6_cu_fe_crosstalk,STRONG,41201667,2025,Zhang,"{'title': 'Molecular biomedicine', 'iso_abbreviation': 'Mol Biomed'}",False,review,"Ferroptosis and cuproptosis intricately connected through shared molecular nodes, redox homeostasis, signaling proteins, mitochondrial integrity.",10.1186/s43556-025-00347-7,"Targeting ferroptosis and cuproptosis in gastrointestinal cancers: molecular mechanisms, metabolic vulnerabilities, and therapeutic interventions."
